dagnr	datum	Slapen	Dir	start	einde
1	09/04/15	Vliegtuig	Vliegtuig		
2	09/05/15	Fukuoka	Fukuoka		
3	09/06/15	Fukuoka	Fukuoka-Dazaifu	20150906	20150907
4	09/07/15	Fukuoka	Fukuoka-Wandeling-park-toren	20150907	20150908
5	09/08/15	Hiroshima	Hiroshima	20150908	20150909
6	09/09/15	Hiroshima	Hiroshima-Mazda	20150909	20150909_12
6	09/09/15	Hiroshima	Hiroshima-Kasteel	20150909_12	20150910
7	09/10/15	Hiroshima	Hiroshima-Miyajima	20150910	20150911
8	09/11/15	Kurashiki	Kurashiki	20150911	20150912
9	09/12/15	Kurashiki	Kurashiki-Kibi	20150912	20150913
10	09/13/15	Kurashiki	Kurashiki-Naoshima	20150913	20150914
11	09/14/15	Osaka	Himeji	20150914	20150914_16
11	09/14/15	Osaka	Osaka	20150914_16	20150915
12	09/15/15	Osaka	Osaka-Nara	20150915	20150916
13	09/16/15	Osaka	Osaka-Kyoto	20150916	20150917
14	09/17/15	Matsumoto	Osaka-aquarium	20150917	20150917_14
14	09/17/15	Matsumoto	Matsumoto	20150917_14	20150918
15	09/18/15	Matsumoto	Matsumoto	20150918	20150919
16	09/19/15	Matsumoto	Matsumoto-fietsen	20150919	20150920
17	09/20/15	Nagano	Nagano	20150920	20150921
18	09/21/15	Tokyo	Tokyo-Yanaka	20150921	20150922
19	09/22/15	Tokyo	Tokyo-Odaiba	20150922	20150923
20	09/23/15	Tokyo	Tokyo-Shinjuku	20150923	20150924
21	09/24/15	Vliegtuig	Tokyo-origami	20150924	20150925
22	09/25/15	Thuis			
