English - 102 letters.
Letter 	Count 	Points 	
A 	10 	1 	
B 	2 	4 	
C 	2 	4 	
D 	5 	2 	
E 	12 	1 	
F 	2 	4 	
G 	3 	3 	
H 	3 	4 	
I 	9 	1 	
J 	1 	10 	
K 	1 	5 	
L 	4 	1 	
M 	2 	3 	
N 	6 	1
O 	7 	1
P 	2 	4
Q 	1 	10
R 	6 	1
S 	5 	1
T 	7 	1
U 	4 	2
V 	2 	4
W 	2 	4
X 	1 	8
Y 	2 	4
Z 	1 	10

Dutch - 102 letters
Letter 	Count 	Points 	
A 	7 	1 	
B 	2 	4 	
C 	2 	5 	
D 	5 	2 	
E 	18 	1 	
F 	2 	4 	
G 	3 	3 	
H 	2 	4 	
I 	4 	2 	
J 	2 	4 	
K 	3 	3 	
L 	3 	3 	
M 	3 	3 	
N 	11 	1
O 	6 	1
P 	2 	4
Q 	1 	10
R 	5 	2
S 	5 	2
T 	5 	2
U 	3 	2
V 	2 	4
W 	2 	5
X 	1 	8
Y 	1 	8
Z 	2 	5

