Onderwerp	Begindatum	Begintijd	Einddatum	Eindtijd	Beschrijving
"As It Is In Heaven  Kay Pollak  "	21-9-2006	20:00	21-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"As It Is In Heaven  Kay Pollak  "	22-9-2006	20:00	22-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"As It Is In Heaven  Kay Pollak  "	24-9-2006	20:00	24-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"As It Is In Heaven  Kay Pollak  "	25-9-2006	20:00	25-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"As It Is In Heaven  Kay Pollak  "	26-9-2006	20:00	26-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"As It Is In Heaven  Kay Pollak  "	27-9-2006	20:00	27-9-2006	22:00	"De uitgeputte dirigent Daniel onderbreekt een succesvolle carrière om zich terug te trekken in zijn geboorteplaatsje Norrland, hoog in het noorden van Zweden. Hij raakt betrokken bij het locale kerkkoor en dat geeft zijn leven een heel nieuwe wending. Norrland en Daniel zullen nooit meer hetzelfde zijn. Regisseur Kay Pollak wilde na de moord op Olof Palme nooit meer films maken. Nu, zestien jaar later, maakte hij met As It Is In Heaven één van de succesvolste Zweedse films van de laatste tijd.
Zweden | 130 minuten | 2004 | regie Kay Pollak, met Michael Niqvist, Frida Hallgren"
"Grimm  Alex van Warmerdam  "	30-9-2006	20:00	30-9-2006	22:00	"In deze voorlaatste film van Alex van Warmerdam, moeten Jakob en Marie zien te overleven na door hun werkloze vader in het bos te zijn achtergelaten. Ze gaan op zoek naar hun oom in Spanje, maar die blijkt te zijn overleden. Van Warmerdam benadrukte niet zoeer de sprookjesachtige, maar vooral de absurdistishe elementen in deze vertellingen van Grimm.
Nederland 2003, lengte 103 minuten, regie Alex van Warmerdam, met Jakob Derwig, Halina Reijn, Kees Prins"
"Grimm  Alex van Warmerdam  "	1-10-2006	20:00	1-10-2006	22:00	"In deze voorlaatste film van Alex van Warmerdam, moeten Jakob en Marie zien te overleven na door hun werkloze vader in het bos te zijn achtergelaten. Ze gaan op zoek naar hun oom in Spanje, maar die blijkt te zijn overleden. Van Warmerdam benadrukte niet zoeer de sprookjesachtige, maar vooral de absurdistishe elementen in deze vertellingen van Grimm.
Nederland 2003, lengte 103 minuten, regie Alex van Warmerdam, met Jakob Derwig, Halina Reijn, Kees Prins"
"La mala educación  Pedro Almodóvar  "	16-10-2006	20:00	16-10-2006	22:00	"La mala educación van Almodóvar (Hable con ella, Volver) is een mix van ontluikende seksualiteit, lust en onderdrukte verlangens. Verschillende tijden en verhalen smelten samen en vormen deze moderne film noir in glasheldere kleuren. Twee mannen zijn in hun jeugd door het hoofd van een internaat misbruikt. Deze achtergrond tekent hun leven.
Spanje 2004, lengte 105 minuten, regie Pedro Almodóvar, met Gael García Bernal, Fele Martínez"
"13 (Tzameti)  Géla Babluani  "	5-10-2006	22:00	5-10-2006	23:00	"De twintiger Sébastien raakt verzeild in een luguber en gewelddadig spel wanneer hij de instructies opvolgt die voor een ander zijn bedoeld. Hij komt terecht in een wereld waar mannen achter gesloten deuren gokken met het leven van andere mannen. De inzet is hoog, maar de eventuele beloning is dit ook. De krachtige zwart-wit beelden en de sfeervolle belichting maken van 13 (Tzameti) een moderne film noir die doet denken aan Memento en het werk van Tarantino.
Frankrijk/Georgië 2005, lengte 93 minuten, regie Géla Babluani, met George Babluani, Aurélien Recoing"
