"rampevery","maxconc"
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,90
11,91
12,92
13,93
14,93
15,94
16,94
17,95
18,95
19,95
20,90
21,91
22,91
23,92
24,92
25,92
26,93
27,94
28,94
29,94
30,90
31,91
32,91
33,91
34,92
35,92
36,92
37,94
38,93
39,93
40,92
41,91
42,92
43,91
44,91
45,92
46,92
47,92
48,92
49,92
50,90
51,91
52,91
53,91
54,93
55,91
56,92
57,93
58,92
59,95
60,90
61,91
62,91
63,92
64,92
65,92
66,92
67,94
68,92
69,94
70,90
71,93
72,92
73,91
74,93
75,91
76,91
77,93
78,92
79,93
80,92
81,92
82,91
83,92
84,92
85,92
86,91
87,92
88,92
89,92
90,90
91,91
92,91
93,91
94,91
95,91
96,91
97,91
98,91
99,91
100,90
101,91
102,91
103,91
104,91
105,91
106,92
107,92
108,92
109,92
110,90
111,100
112,91
113,91
114,91
115,91
116,91
117,91
118,92
119,92
120,92
