Script	#/uur	looptijd scenario (sec)	#vusers	#/rampup		#/sec	#vusers (loadfactor)	pacing (sec)	#/rampup (loadfactor)	rampup every (sec)	rampup periode	stabiele periode	#testgevallen	check pacing/looptijd	min #vusers	#/sec bji te weinig vusers	#/uur bij te weinig vusers	Check: N = X * pacing	Check: N = X * looptijd scen.
ramp3.6	1000.0	110	40	1		0.27778	40	144	1	3.6	140.4	7059.6	1981		31	0.27778	1000.0	40.0	30.6
ramp1	1000.0	110	40	1		0.27778	40	144	1	1	39	7161.0	1995		31	0.27778	1000.0	40.0	30.6
ramp2	1000.0	110	40	1		0.27778	40	144	1	2	78	7122.0	1989		31	0.27778	1000.0	40.0	30.6
ramp3	1000.0	110	40	1		0.27778	40	144	1	3	117	7083.0	1984		31	0.27778	1000.0	40.0	30.6
ramp4	1000.0	110	40	1		0.27778	40	144	1	4	156	7044.0	1978		31	0.27778	1000.0	40.0	30.6
ramp5	1000.0	110	40	1		0.27778	40	144	1	5	195	7005.0	1973		31	0.27778	1000.0	40.0	30.6
ramp6	1000.0	110	40	1		0.27778	40	144	1	6	234	6966.0	1968		31	0.27778	1000.0	40.0	30.6
ramp7	1000.0	110	40	1		0.27778	40	144	1	7	273	6927.0	1962		31	0.27778	1000.0	40.0	30.6
ramp8	1000.0	110	40	1		0.27778	40	144	1	8	312	6888.0	1957		31	0.27778	1000.0	40.0	30.6
ramp9	1000.0	110	40	1		0.27778	40	144	1	9	351	6849.0	1951		31	0.27778	1000.0	40.0	30.6
ramp10	1000.0	110	40	1		0.27778	40	144	1	10	390	6810.0	1946		31	0.27778	1000.0	40.0	30.6
ramp15	1000.0	110	40	1		0.27778	40	144	1	15	585	6615.0	1919		31	0.27778	1000.0	40.0	30.6
ramp20	1000.0	110	40	1		0.27778	40	144	1	20	780	6420.0	1892		31	0.27778	1000.0	40.0	30.6
ramp25	1000.0	110	40	1		0.27778	40	144	1	25	975	6225.0	1865		31	0.27778	1000.0	40.0	30.6
