ip_address	ms from Sao Paulo	ms from Washington	location
204.246.169.10	timeout		timeout
204.246.169.104			
204.246.169.144			
204.246.169.146			
204.246.169.186			
204.246.169.201			
204.246.169.207			
204.246.169.21			
204.246.169.216			
204.246.169.221			
204.246.169.244			
204.246.169.41			
204.246.169.46			
204.246.169.62	timeout (didn't wait for it)		timeout
204.246.175.156	169	25	30 msec from DC
204.246.175.55			
204.246.175.97			
205.251.223.100	13		Sao Paulo
205.251.223.102			
205.251.223.108			
205.251.223.109			
205.251.223.113			
205.251.223.115			
205.251.223.121			
205.251.223.124			
205.251.223.125			
205.251.223.129			
205.251.223.132			
205.251.223.135			
205.251.223.138			
205.251.223.140			
205.251.223.142			
205.251.223.147			
205.251.223.148			
205.251.223.149			
205.251.223.15			
205.251.223.155			
205.251.223.157			
205.251.223.158			
205.251.223.161			
205.251.223.163			
205.251.223.165			
205.251.223.168			
205.251.223.17			
205.251.223.173			
205.251.223.184			
205.251.223.19			
205.251.223.195			
205.251.223.200			
205.251.223.205			
205.251.223.208			
205.251.223.210			
205.251.223.212			
205.251.223.222			
205.251.223.229			
205.251.223.234			
205.251.223.236			
205.251.223.238			
205.251.223.239			
205.251.223.24			
205.251.223.242			
205.251.223.25			
205.251.223.254			
205.251.223.29			
205.251.223.35			
205.251.223.37			
205.251.223.39			
205.251.223.4			
205.251.223.47			
205.251.223.5			
205.251.223.51			
205.251.223.54			
205.251.223.65			
205.251.223.67			
205.251.223.8			
205.251.223.84			
205.251.223.85			
205.251.223.9			
205.251.223.92			
205.251.251.143	141	8	Virginia, US
205.251.251.149			
205.251.251.153			
205.251.251.18			
205.251.251.202			
205.251.251.243			
205.251.251.245			
216.137.33.112		3	Virginia, US
216.137.33.158			
216.137.33.159			
216.137.33.182			
216.137.33.184			
216.137.33.187			
216.137.33.194			
216.137.33.203			
216.137.33.209			
216.137.33.212			
216.137.33.222			
216.137.33.225			
216.137.33.58			
216.137.33.7			
54.230.100.10		3	Virginia, US
54.230.100.112			
54.230.100.14			
54.230.100.165			
54.230.100.171			
54.230.100.178			
54.230.100.227			
54.230.100.35			
54.230.100.62			
54.230.100.8			
54.230.100.94			
54.230.101.163		3	Virginia, US
54.230.101.201			
54.230.101.23			
54.230.101.232			
54.230.101.240			
54.230.101.249			
54.230.101.251			
54.230.101.254			
54.230.101.26			
54.230.101.29			
54.230.101.92			
54.230.102.137		4	Virginia, US
54.230.102.182			
54.230.102.195			
54.230.102.205			
54.230.102.207			
54.230.102.215			
54.230.102.228			
54.230.102.239			
54.230.102.61			
54.230.102.81			
54.230.102.92			
54.230.103.106		3	Virginia, US
54.230.103.145			
54.230.103.147			
54.230.103.155			
54.230.103.175			
54.230.103.209			
54.230.103.215			
54.230.103.23			
54.230.103.64			
54.230.16.127		4	Virginia, US
54.230.16.134			
54.230.16.146			
54.230.16.148			
54.230.16.169			
54.230.16.17			
54.230.16.192			
54.230.16.201			
54.230.16.202			
54.230.16.237			
54.230.16.254			
54.230.16.38			
54.230.16.54			
54.230.16.77			
54.230.16.98			
54.230.160.103		23	30 msec from DC
54.230.160.112			
54.230.160.143			
54.230.160.162			
54.230.160.174			
54.230.160.189			
54.230.160.220			
54.230.160.241			
54.230.160.251			
54.230.160.253			
54.230.160.36			
54.230.160.44			
54.230.161.132		22	30 msec from DC
54.230.161.134			
54.230.161.143			
54.230.161.155			
54.230.161.166			
54.230.161.179			
54.230.161.206			
54.230.161.208			
54.230.161.22			
54.230.161.63			
54.230.161.92			
54.230.162.115		22	30 msec from DC
54.230.162.142			
54.230.162.144			
54.230.162.156			
54.230.162.159			
54.230.162.177			
54.230.162.188			
54.230.162.191			
54.230.162.197			
54.230.162.224			
54.230.162.252			
54.230.162.50			
54.230.162.56			
54.230.163.121		23	30 msec from DC
54.230.163.145			
54.230.163.148			
54.230.163.167			
54.230.163.175			
54.230.163.23			
54.230.163.25			
54.230.163.30			
54.230.163.47			
54.230.163.68			
54.230.17.113		2	Virginia, US
54.230.17.120			
54.230.17.122			
54.230.17.148			
54.230.17.161			
54.230.17.187			
54.230.17.22			
54.230.17.246			
54.230.17.25			
54.230.17.37			
54.230.17.45			
54.230.17.75			
54.230.17.83			
54.230.17.89			
54.230.17.94			
54.230.18.118		3	Virginia, US
54.230.18.12			
54.230.18.121			
54.230.18.126			
54.230.18.139			
54.230.18.157			
54.230.18.187			
54.230.18.254			
54.230.18.72			
54.230.18.79			
54.230.19.13		2	Virginia, US
54.230.19.14			
54.230.19.15			
