freq,template,STP,FXDERV,Channel,MM
1,DERV_CAPFLOOR_41572926.xml,Manual,DERV,Mail,Current
1,DERV_FRA_41407529.xml,STP,DERV,Mail,Current
8,DERV_FXOPTION_41935274.xml,Manual,DERV,Mail,Current
11,DERV_IRS_41923365.xml,Manual,DERV,Mail,Current
1,DERV_IRS_silent_consent_41931295.xml,Manual,DERV,Mail,Current
1,DERV_NDS_41785838.xml,Manual,DERV,Fax,Current
1,DERV_SWAPTION_41508143.xml,Manual,DERV,Fax,Current
2,DERV_XCCY_41314236.xml,Manual,DERV,Fax,Current
21,FXMM_CALLNOTICE_no_swift_42176862.xml,STP,FX,Mail,MM
313,FXMM_CASH_no_swift_42174611.xml,STP,FX,Mail,MM
1,FXMM_FXFORWARD_no_swift_41892018.xml,Manual,FX,Fax,Current
70,FXMM_FXFORWARD_stp_41856278.xml,STP,FX,Mail,Current
70,FXMM_FXFORWARD_stp_silent_consent_41850768.xml,STP,FX,Mail,Current
69,FXMM_FXFORWARD_swift_no_conf_41927137.xml,STP,FX,Swift,Current
2,FXMM_FXNDF_silent_consent_41938699.xml,STP,FX,Mail,Current
2,FXMM_FXNDF_swift_no_conf_41936742.xml,STP,FX,Swift,Current
12,FXMM_FXNDF_swift_with_conf_41926842.xml,STP,FX,SwiftMail,Current
36,FXMM_FXSPOT_no_swift_41852820.xml,STP,FX,Mail,Current
11,FXMM_FXSPOT_silent_consent_41946363.xml,STP,FX,Mail,Current
944,FXMM_FXSPOT_swift_no_conf_41948270.xml,STP,FX,Swift,Current
35,FXMM_FXSPOT_swift_with_conf_41877126.xml,STP,FX,SwiftMail,Current
9,FXMM_FXSWAP_silent_consent_41946454.xml,STP,FX,Mail,Current
85,FXMM_FXSWAP_swift_no_conf_41946455.xml,STP,FX,Swift,Current
27,FXMM_FXSWAP_swift_with_conf_41943108.xml,STP,FX,SwiftMail,Current
1,FXMM_FXWINDOWFORWARD_41881707.xml,STP,FX,Mail,Current
166,FXMM_SIMPLEMM_42166784.xml,STP,FX,Mail,MM
